thisProcessorNumber 45 out of 120
line 1000, partTime 7934, wholeTime 7934
line 2000, partTime 9916, wholeTime 17851
line 3000, partTime 40630, wholeTime 58481
line 4000, partTime 66315, wholeTime 124797
line 5000, partTime 45842, wholeTime 170639
line 6000, partTime 62258, wholeTime 232898
line 7000, partTime 40533, wholeTime 273431
line 8000, partTime 23286, wholeTime 296717
line 9000, partTime 99223, wholeTime 395941
line 10000, partTime 152279, wholeTime 548220
line 11000, partTime 269480, wholeTime 817701
line 12000, partTime 66567, wholeTime 884268
line 13000, partTime 35736, wholeTime 920004
line 14000, partTime 364676, wholeTime 1284681
line 15000, partTime 231575, wholeTime 1516256
line 16000, partTime 219795, wholeTime 1736051
line 17000, partTime 111736, wholeTime 1847787
line 18000, partTime 106393, wholeTime 1954181
line 19000, partTime 224897, wholeTime 2179079
line 20000, partTime 229250, wholeTime 2408330
line 21000, partTime 129989, wholeTime 2538319
line 22000, partTime 150777, wholeTime 2689097
line 23000, partTime 132474, wholeTime 2821571
line 24000, partTime 141900, wholeTime 2963472
line 25000, partTime 31116, wholeTime 2994589
line 26000, partTime 177402, wholeTime 3171992
line 27000, partTime 53569, wholeTime 3225561
line 28000, partTime 140566, wholeTime 3366128
line 29000, partTime 51342, wholeTime 3417471
line 30000, partTime 126271, wholeTime 3543742
line 31000, partTime 26265, wholeTime 3570007
line 32000, partTime 22652, wholeTime 3592660
line 33000, partTime 48483, wholeTime 3641143
line 34000, partTime 1182407, wholeTime 4823551
line 35000, partTime 1207472, wholeTime 6031024
line 36000, partTime 1187741, wholeTime 7218766
line 37000, partTime 354865, wholeTime 7573632
line 38000, partTime 544571, wholeTime 8118203
line 39000, partTime 378250, wholeTime 8496454
line 40000, partTime 618738, wholeTime 9115192
line 41000, partTime 202229, wholeTime 9317422
line 42000, partTime 393376, wholeTime 9710798
line 43000, partTime 952146, wholeTime 10662944
line 44000, partTime 349218, wholeTime 11012163
line 45000, partTime 898728, wholeTime 11910892
line 46000, partTime 337555, wholeTime 12248448
line 47000, partTime 235155, wholeTime 12483603
line 48000, partTime 91431, wholeTime 12575034
line 49000, partTime 148321, wholeTime 12723355
line 50000, partTime 305647, wholeTime 13029003
line 51000, partTime 67847, wholeTime 13096850
line 52000, partTime 1024511, wholeTime 14121362
line 53000, partTime 508609, wholeTime 14629972
line 54000, partTime 632316, wholeTime 15262288
line 55000, partTime 553716, wholeTime 15816004
line 56000, partTime 153494, wholeTime 15969499
line 57000, partTime 278586, wholeTime 16248086
line 58000, partTime 241843, wholeTime 16489929
line 59000, partTime 408399, wholeTime 16898329
line 60000, partTime 256838, wholeTime 17155168
line 61000, partTime 85435, wholeTime 17240604
line 62000, partTime 137583, wholeTime 17378187
line 63000, partTime 619250, wholeTime 17997438
line 64000, partTime 269834, wholeTime 18267272
line 65000, partTime 178338, wholeTime 18445610
line 66000, partTime 242661, wholeTime 18688272
line 67000, partTime 56558, wholeTime 18744830
line 68000, partTime 138038, wholeTime 18882869
line 69000, partTime 195231, wholeTime 19078101
line 70000, partTime 157781, wholeTime 19235883
line 71000, partTime 59066, wholeTime 19294949
line 72000, partTime 184204, wholeTime 19479153
line 73000, partTime 15595, wholeTime 19494749
line 74000, partTime 141429, wholeTime 19636179
line 75000, partTime 1352544, wholeTime 20988723
line 76000, partTime 545748, wholeTime 21534472
line 77000, partTime 567666, wholeTime 22102139
line 78000, partTime 670505, wholeTime 22772645
line 79000, partTime 205986, wholeTime 22978631
line 80000, partTime 244314, wholeTime 23222946
line 81000, partTime 475226, wholeTime 23698173
line 82000, partTime 226705, wholeTime 23924878
line 83000, partTime 403885, wholeTime 24328764
line 84000, partTime 243988, wholeTime 24572753
line 85000, partTime 298311, wholeTime 24871065
line 86000, partTime 57408, wholeTime 24928473
line 87000, partTime 263898, wholeTime 25192372
line 88000, partTime 377570, wholeTime 25569942
line 89000, partTime 258608, wholeTime 25828550
line 90000, partTime 172676, wholeTime 26001227
line 91000, partTime 307384, wholeTime 26308611
line 92000, partTime 65448, wholeTime 26374060
line 93000, partTime 87948, wholeTime 26462009
line 94000, partTime 91643, wholeTime 26553652
line 95000, partTime 137545, wholeTime 26691198
line 96000, partTime 71302, wholeTime 26762500
line 97000, partTime 98989, wholeTime 26861490
line 98000, partTime 117296, wholeTime 26978786
line 99000, partTime 36463, wholeTime 27015249
line 100000, partTime 32507, wholeTime 27047757
line 101000, partTime 585251, wholeTime 27633009
line 102000, partTime 445426, wholeTime 28078435
line 103000, partTime 324580, wholeTime 28403015
line 104000, partTime 174215, wholeTime 28577231
line 105000, partTime 261211, wholeTime 28838443
line 106000, partTime 100940, wholeTime 28939383
line 107000, partTime 57128, wholeTime 28996512
line 108000, partTime 19723, wholeTime 29016235
line 109000, partTime 214787, wholeTime 29231022
line 110000, partTime 51071, wholeTime 29282094
line 111000, partTime 42000, wholeTime 29324094
line 112000, partTime 108902, wholeTime 29432996
line 113000, partTime 66402, wholeTime 29499399
line 114000, partTime 22966, wholeTime 29522365
line 115000, partTime 29299, wholeTime 29551665
line 116000, partTime 120087, wholeTime 29671753
line 117000, partTime 113961, wholeTime 29785714
line 118000, partTime 109153, wholeTime 29894867
line 119000, partTime 133009, wholeTime 30027877
line 120000, partTime 61749, wholeTime 30089626
line 121000, partTime 30666, wholeTime 30120293
line 122000, partTime 19230, wholeTime 30139523
line 123000, partTime 9478, wholeTime 30149002
line 124000, partTime 72385, wholeTime 30221387
line 125000, partTime 8301, wholeTime 30229688
line 126000, partTime 15371, wholeTime 30245060
line 127000, partTime 2862, wholeTime 30247922
line 128000, partTime 25876, wholeTime 30273799
line 129000, partTime 3658, wholeTime 30277457
line 130000, partTime 445, wholeTime 30277902
line 131000, partTime 578, wholeTime 30278480
line 131328, partTime 136, wholeTime 30278616
Lines checked 1094
Paths count 17335924
Colors used 8
