thisProcessorNumber 51 out of 120
line 1000, partTime 3205, wholeTime 3205
line 2000, partTime 3679, wholeTime 6884
line 3000, partTime 13969, wholeTime 20854
line 4000, partTime 12201, wholeTime 33055
line 5000, partTime 8883, wholeTime 41938
line 6000, partTime 9200, wholeTime 51139
line 7000, partTime 8831, wholeTime 59971
line 8000, partTime 2309, wholeTime 62281
line 9000, partTime 59916, wholeTime 122197
line 10000, partTime 14760, wholeTime 136958
line 11000, partTime 32842, wholeTime 169800
line 12000, partTime 34017, wholeTime 203817
line 13000, partTime 7799, wholeTime 211617
line 14000, partTime 61062, wholeTime 272679
line 15000, partTime 36850, wholeTime 309529
line 16000, partTime 23886, wholeTime 333416
line 17000, partTime 29803, wholeTime 363219
line 18000, partTime 8990, wholeTime 372209
line 19000, partTime 42899, wholeTime 415108
line 20000, partTime 43876, wholeTime 458985
line 21000, partTime 29153, wholeTime 488138
line 22000, partTime 25552, wholeTime 513691
line 23000, partTime 39232, wholeTime 552923
line 24000, partTime 21199, wholeTime 574123
line 25000, partTime 6600, wholeTime 580723
line 26000, partTime 44126, wholeTime 624850
line 27000, partTime 13836, wholeTime 638686
line 28000, partTime 13386, wholeTime 652073
line 29000, partTime 11168, wholeTime 663241
line 30000, partTime 11919, wholeTime 675160
line 31000, partTime 9842, wholeTime 685002
line 32000, partTime 3093, wholeTime 688096
line 33000, partTime 19736, wholeTime 707833
line 34000, partTime 348939, wholeTime 1056772
line 35000, partTime 218616, wholeTime 1275389
line 36000, partTime 167143, wholeTime 1442532
line 37000, partTime 62292, wholeTime 1504825
line 38000, partTime 142156, wholeTime 1646981
line 39000, partTime 157041, wholeTime 1804022
line 40000, partTime 74981, wholeTime 1879003
line 41000, partTime 50955, wholeTime 1929959
line 42000, partTime 138994, wholeTime 2068954
line 43000, partTime 279520, wholeTime 2348474
line 44000, partTime 42728, wholeTime 2391202
line 45000, partTime 163236, wholeTime 2554439
line 46000, partTime 70418, wholeTime 2624857
line 47000, partTime 107365, wholeTime 2732223
line 48000, partTime 64693, wholeTime 2796917
line 49000, partTime 18865, wholeTime 2815782
line 50000, partTime 35330, wholeTime 2851113
line 51000, partTime 11726, wholeTime 2862839
line 52000, partTime 191284, wholeTime 3054123
line 53000, partTime 177623, wholeTime 3231747
line 54000, partTime 32991, wholeTime 3264738
line 55000, partTime 98059, wholeTime 3362798
line 56000, partTime 24433, wholeTime 3387231
line 57000, partTime 90352, wholeTime 3477584
line 58000, partTime 69283, wholeTime 3546867
line 59000, partTime 99863, wholeTime 3646730
line 60000, partTime 3919, wholeTime 3650649
line 61000, partTime 53111, wholeTime 3703761
line 62000, partTime 20140, wholeTime 3723901
line 63000, partTime 129090, wholeTime 3852992
line 64000, partTime 93311, wholeTime 3946304
