thisProcessorNumber 55 out of 120
line 1000, partTime 30344, wholeTime 30344
line 2000, partTime 30663, wholeTime 61007
line 3000, partTime 125921, wholeTime 186928
line 4000, partTime 58350, wholeTime 245279
line 5000, partTime 61266, wholeTime 306545
line 6000, partTime 67567, wholeTime 374112
line 7000, partTime 53828, wholeTime 427940
line 8000, partTime 28292, wholeTime 456232
line 9000, partTime 255896, wholeTime 712129
line 10000, partTime 404994, wholeTime 1117123
line 11000, partTime 134225, wholeTime 1251349
line 12000, partTime 217374, wholeTime 1468724
line 13000, partTime 96901, wholeTime 1565625
line 14000, partTime 358501, wholeTime 1924126
line 15000, partTime 139009, wholeTime 2063135
line 16000, partTime 127190, wholeTime 2190325
line 17000, partTime 174659, wholeTime 2364985
line 18000, partTime 128066, wholeTime 2493051
line 19000, partTime 197356, wholeTime 2690407
line 20000, partTime 358636, wholeTime 3049043
line 21000, partTime 204731, wholeTime 3253774
line 22000, partTime 196706, wholeTime 3450481
line 23000, partTime 232419, wholeTime 3682900
line 24000, partTime 88767, wholeTime 3771667
line 25000, partTime 57819, wholeTime 3829487
line 26000, partTime 274722, wholeTime 4104209
line 27000, partTime 45903, wholeTime 4150113
line 28000, partTime 74506, wholeTime 4224619
line 29000, partTime 49794, wholeTime 4274414
line 30000, partTime 36765, wholeTime 4311179
line 31000, partTime 53267, wholeTime 4364446
line 32000, partTime 24100, wholeTime 4388546
line 33000, partTime 97136, wholeTime 4485682
line 34000, partTime 1508391, wholeTime 5994074
line 35000, partTime 1152322, wholeTime 7146396
line 36000, partTime 1046518, wholeTime 8192914
line 37000, partTime 653269, wholeTime 8846184
line 38000, partTime 577603, wholeTime 9423787
line 39000, partTime 998107, wholeTime 10421894
line 40000, partTime 789392, wholeTime 11211286
line 41000, partTime 612777, wholeTime 11824063
line 42000, partTime 572271, wholeTime 12396334
line 43000, partTime 1048916, wholeTime 13445250
line 44000, partTime 387002, wholeTime 13832252
line 45000, partTime 1211842, wholeTime 15044095
line 46000, partTime 458882, wholeTime 15502977
line 47000, partTime 507261, wholeTime 16010238
line 48000, partTime 237427, wholeTime 16247665
line 49000, partTime 304579, wholeTime 16552244
line 50000, partTime 228935, wholeTime 16781180
line 51000, partTime 167604, wholeTime 16948784
line 52000, partTime 803702, wholeTime 17752486
