thisProcessorNumber 2 out of 4
line 1000, partTime 1586, wholeTime 1586
line 2000, partTime 2362, wholeTime 3949
line 3000, partTime 8914, wholeTime 12864
line 4000, partTime 9461, wholeTime 22326
line 5000, partTime 9758, wholeTime 32084
line 6000, partTime 10547, wholeTime 42632
line 7000, partTime 9337, wholeTime 51969
line 8000, partTime 7778, wholeTime 59748
line 9000, partTime 39103, wholeTime 98852
line 10000, partTime 58815, wholeTime 157667
line 11000, partTime 71524, wholeTime 229192
line 12000, partTime 50073, wholeTime 279265
line 13000, partTime 55005, wholeTime 334271
line 14000, partTime 61911, wholeTime 396183
line 15000, partTime 55140, wholeTime 451323
line 16000, partTime 54359, wholeTime 505683
line 17000, partTime 50040, wholeTime 555724
line 18000, partTime 39210, wholeTime 594934
line 19000, partTime 69693, wholeTime 664628
line 20000, partTime 79826, wholeTime 744455
line 21000, partTime 74631, wholeTime 819087
line 22000, partTime 79221, wholeTime 898308
line 23000, partTime 61550, wholeTime 959858
line 24000, partTime 67036, wholeTime 1026895
line 25000, partTime 57254, wholeTime 1084149
line 26000, partTime 72871, wholeTime 1157021
line 27000, partTime 63733, wholeTime 1220755
line 28000, partTime 51824, wholeTime 1272579
line 29000, partTime 38634, wholeTime 1311214
line 30000, partTime 48286, wholeTime 1359500
line 31000, partTime 29175, wholeTime 1388675
line 32000, partTime 27274, wholeTime 1415950
line 33000, partTime 24371, wholeTime 1440322
line 34000, partTime 363344, wholeTime 1803666
line 35000, partTime 324112, wholeTime 2127779
line 36000, partTime 326727, wholeTime 2454506
line 37000, partTime 320093, wholeTime 2774600
line 38000, partTime 283835, wholeTime 3058435
line 39000, partTime 340055, wholeTime 3398490
line 40000, partTime 269526, wholeTime 3668016
line 41000, partTime 259480, wholeTime 3927497
line 42000, partTime 331810, wholeTime 4259307
line 43000, partTime 303226, wholeTime 4562533
line 44000, partTime 335231, wholeTime 4897765
line 45000, partTime 268360, wholeTime 5166125
line 46000, partTime 296591, wholeTime 5462716
line 47000, partTime 269796, wholeTime 5732513
